	world	description	category	animating	footprintx	footprintz	height	filename	seqname	seqnameshad	animtrans	shadtrans	hitdensity	metal	damage	indestructible	seqnamereclamate	energy	seqnameburn	seqnameburnshad	featureburnt	burnmin	burnmax	sparktime	spreadchance	burnweapon	seqnamedie	featuredead	flamable	reclaimable	featurereclamamate	reproduce	reproducearea	blocking	geothermal	object	autoreclaimable	featurereclamate	nodisplayinfo	permanent
Crystal\Crystal-Metal.CrystalMetal1	crystal	Metal	metal	0	3	3	0	crys-metal	crys-metal01		0	1	5	86	32009	1																								
Crystal\Crystal-Metal.CrystalMetal2	crystal	Metal	metal	0	3	3	0	crys-metal	crys-metal02		0	1	5	140	32009	1																								
Crystal\Crystal-Metal.CrystalMetal3	crystal	Metal	metal	0	3	3	0	crys-metal	crys-metal03		0	1	5	235	32009	1																								
Crystal\Crystal-Metal.CrystalAquaOre1	crystal	Metal	metal	0	3	3	0	crys-metal	crys-aquaore01		0	1	5	86	32009	1																								
Crystal\Crystal-Metal.CrystalAquaOre2	crystal	Metal	metal	0	3	3	0	crys-metal	crys-aquaore02		0	1	5	127	32009	1																								
Crystal\Crystal-Metal.CrystalAquaOre3	crystal	Metal	metal	0	3	3	0	crys-metal	crys-aquaore03		0	1	5	223	32009	1																								
Crystal\Crystal-Spires.CrystalSpire01	crystal	Spire	spires	0	7	7	420	crys-spire	crystalspire01	crys-spireshad01	0	1	100		2000	1																		1					1	1
Crystal\Crystal-Spires.CrystalSpire02	crystal	Spire	spires	0	6	5	240	crys-spire	crystalspire02	crys-spireshad02	0	1	100		2000	1																		1					1	1
Crystal\Crystal-Spires.CrystalSpire03	crystal	Spire	spires	0	5	6	160	crys-spire	crystalspire03	crys-spireshad03	0	1	100		2000	1																		1					1	1
Crystal\Crystal-Spires.CrystalSpire04	crystal	Spire	spires	0	6	4	120	crys-spire	crystalspire04	crys-spireshad04	0	1	100		2000	1																		1					1	1
Crystal\Crystal-Spires.CrystalSpire05	crystal	Spire	spires	0	8	8	140	crys-spire	crystalspire05	crys-spireshad05	0	1	100		2000	1																		1					1	1
Crystal\Crystal-Spires.CrystalSpire06	crystal	Spire	spires	0	8	8	200	crys-spire	crystalspire06	crys-spireshad06	0	1	100		2000	1																		1					1	1
Crystal\Crystal-Spires.CrystalSpire07	crystal	Spire	spires	0	8	7	340	crys-spire	crystalspire07	crys-spireshad07	0	1	100		2000	1																		1					1	1
Crystal\Crystal-Spires.CrystalSpire08	crystal	Spire	spires	0	8	8	160	crys-spire	crystalspire08	crys-spireshad08	0	1	100		2000	1																		1					1	1
Crystal\Crystal-Spires.CrystalSpire09	crystal	Spire	spires	0	8	7	180	crys-spire	crystalspire09	crys-spireshad09	0	1	100		2000	1																		1					1	1
Crystal\Crystal-Spires.CrystalSpire10	crystal	Spire	spires	0	5	6	100	crys-spire	crystalspire10	crys-spireshad10	0	1	100		2000	1																		1					1	1
Crystal\Crystal-Spires.CrystalSpire11	crystal	Spire	spires	0	5	6	400	crys-spire	crystalspire11	crys-spireshad11	0	1	100		2000	1																		1					1	1
Crystal\Crystal-Vents.CrystalVent01	crystal	Thermal Vent	steamvents	1	1	1	0	crys-vent	crys-therm01				0			1																			1					
Crystal\Crystal-Vents.CrystalVent02	crystal	Thermal Vent	steamvents	1	1	1	0	crys-vent	crys-therm02				0			1																			1					
Crystal\Crystal-Vents.CrystalVent03	crystal	Thermal Vent	steamvents	1	1	1	0	crys-vent	crys-therm03				0			1																			1					
Crystal\Crystal-Vents.CrystalVent04	crystal	Thermal Vent	steamvents	1	1	1	0	crys-vent	crys-therm04				0			1																			1					
Crystal\Crystal-Vents.CrystalVent05	crystal	Thermal Vent	steamvents	1	1	1	0	crys-vent	crys-therm05				0			1																			1					
Green\Watermetal.GreenAquaOre1	greenworld	Metal	rocks	0	3	3	4	GreenAquaOre	greenaquaore01		0	1	5	116	32009	1																								
Green\Watermetal.GreenAquaOre2	greenworld	Metal	rocks	0	3	3	4	GreenAquaOre	greenaquaore02		0	1	5	187	32009	1																								
Green\Watermetal.GreenAquaOre3	greenworld	Metal	rocks	0	3	3	4	GreenAquaOre	greenaquaore03		0	1	5	250	32009	1																								
Ice\IceWaterMetal.IceAquaOre1	ice	Metal Deposit	metal	0	3	3	4	iceAquaOre	iceaquaore1		0	1	5	86	32009	1																								
Ice\IceWaterMetal.IceAquaOre2	ice	Metal Deposit	metal	0	3	3	4	iceAquaOre	iceaquaore2		0	1	5	127	32009	1																								
Ice\IceWaterMetal.IceAquaOre3	ice	Metal Deposit	metal	0	3	3	4	iceAquaOre	iceaquaore3		0	1	5	223	32009	1																								
lava\VENTS.Lavavent001	lava	Thermal Vent	steamvents	1	1	1	0	lavastuff2	tvent001				0			1																			1				1	
lava\VENTS.Lavavent002	lava	Thermal Vent	steamvents	1	1	1	0	lavastuff2	tvent002				0			1																			1				1	
lava\VENTS.Lavavent003	lava	Thermal Vent	steamvents	1	1	1	0	lavastuff2	tvent003				0			1																			1				1	
lava\VENTS.Lavavent004	lava	Thermal Vent	steamvents	1	1	1	0	lavastuff2	tvent004				0			1																			1				1	
lava\VENTS.Lavavent005	lava	Thermal Vent	steamvents	1	1	1	0	lavastuff2	tvent005				0			1																			1				1	
lava\VENTS.Lavavent006	lava	Thermal Vent	steamvents	1	1	1	0	lavastuff2	tvent006				0			1																			1				1	
lava\VENTS.Lavavent007	lava	Thermal Vent	steamvents	1	1	1	0	lavastuff2	tvent007				0			1																			1				1	
lava\VENTS.Lavavent008	lava	Thermal Vent	steamvents	1	1	1	0	lavastuff2	tvent008				0			1																			1				1	
lava\VENTS.Lavavent009	lava	Thermal Vent	steamvents	1	1	1	0	lavastuff2	tvent009		1		0			1																			1				1	
lava\VENTS.Lavavent010	lava	Thermal Vent	steamvents	1	1	1	0	lavastuff2	tvent010				0			1																			1				1	
Lush\METAL.LushMetal1	lush	Metal	metal	0	3	3	0	metals	lushmetal03		0	1	5	86	32009	1																								
Lush\METAL.LushMetal2	lush	Metal	metal	0	3	3	0	metals	lushmetal01		0	1	5	127	32009	1																								
Lush\METAL.LushMetal3	lush	Metal	metal	0	3	3	0	metals	lushmetal02		0	1	5	223	32009	1																								
Lush\METAL.AquaOre1	lush	Metal	metal	0	3	3	0	metals	aquaore03		0	1	5	86	32009	1																								
Lush\METAL.AquaOre2	lush	Metal	metal	0	3	3	0	metals	aquaore02		0	1	5	127	32009	1																								
Lush\METAL.AquaOre3	lush	Metal	metal	0	3	3	0	metals	aquaore01		0	1	5	223	32009	1																								
Lush\ROCKS.LushRock01	Lush	Rock	rocks	0	1	1	12	lushrocks	lushrock01	rock01shadow	0	1	100	50	2000		lushrock01rec											lushrockscar3		1				1				lushrocksmudge3		
Lush\ROCKS.LushRock02	Lush	Rock	rocks	0	1	1	15	lushrocks	lushrock02	rock02shadow	0	1	100	50	2000		lushrock02rec											lushrockscar3		1				1				lushrocksmudge3		
Lush\ROCKS.LushRock03	Lush	Rock	rocks	0	2	2	26	lushrocks	lushrock03	rock03shadow	0	1	100	25	2000		lushrock03rec											Lushcrushed03		1				1				lushrocksmudge2		
Lush\ROCKS.LushRock04	Lush	Rock	rocks	0	2	2	34	lushrocks	lushrock04	rock04shadow	0	1	100	75	2000		lushrock04rec											Lushcrushed04		1				1				lushrocksmudge2		
Lush\ROCKS.LushRock05	Lush	Rock	rocks	0	3	3	40	lushrocks	lushrock05	rock05shadow	0	1	100	25	2000		lushrock05rec											Lushcrushed05		1				1				lushrocksmudge5		
Lush\ROCKS.LushRock06	Lush	Rock	rocks	0	4	4	66	lushrocks	lushrock06	rock06shadow	0	1	100	50	2000		lushrock06rec											Lushcrushed06		1				1				lushrocksmudge		
Lush\ROCKS.LushRock07	Lush	Rock	rocks	0	5	5	74	lushrocks	lushrock07	rock07shadow	0	1	100	75	2000		lushrock07rec											lushcrushed07		1				1				lushrocksmudge4		
Lush\ROCKS.LushRock08	Lush	Rock	rocks	0	5	5	68	lushrocks	lushrock08	rock08shadow	0	1	100	25	2000		lushrock08rec											Lushcrushed08		1				1				lushrocksmudge4		
Lush\ROCKS.LushCrushed03	Lush	Rock	rocks	0	2	2	8	lushrocks	crushed03	crushshad03	0	1	100	25	2000		crushed03rec											lushrockscar2		1				1				lushrocksmudge2		
Lush\ROCKS.LushCrushed04	Lush	Rock	rocks	0	2	2	9	lushrocks	crushed04	crushshad04	0	1	100	25	2000		crushed04rec											lushrockscar2		1				1				lushrocksmudge2		
Lush\ROCKS.LushCrushed05	Lush	Rock	rocks	0	3	3	25	lushrocks	crushed05	crushshad05	0	1	100	25	2000		crushed05rec											Lushcrushed205		1				1				lushrocksmudge5		
Lush\ROCKS.LushCrushed06	Lush	Rock	rocks	0	4	4	35	lushrocks	crushed06	crushshad06	0	1	100	25	2000		crushed06rec											lushcrushed206		1				1				lushrocksmudge		
Lush\ROCKS.LushCrushed07	Lush	Rock	rocks	0	5	5	38	lushrocks	crushed07	crushshad07	0	1	100	25	2000		crushed07rec											lushcrushed207		1				1				lushrocksmudge4		
Lush\ROCKS.LushCrushed08	Lush	Rock	rocks	0	5	5	31	lushrocks	crushed08	crushshad08	0	1	100	25	2000		crushed08rec											lushcrushed208		1				1				lushrocksmudge4		
Lush\ROCKS.LushCrushed205	Lush	Rock	rocks	0	3	3	8	lushrocks	crushed205	crushshad205	0	1	100	25	2000		crushed205rec											lushrockscar5		1				1				lushrocksmudge5		
Lush\ROCKS.LushCrushed206	Lush	Rock	rocks	0	4	4	14	lushrocks	crushed206	crushshad206	0	1	100	25	2000		crushed206rec											lushrockscar		1				1				lushrocksmudge		
Lush\ROCKS.LushCrushed207	Lush	Rock	rocks	0	5	5	16	lushrocks	crushed207	crushshad207	0	1	100	25	2000		crushed207rec											lushrockscar4		1				1				lushrocksmudge4		
Lush\ROCKS.LushCrushed208	Lush	Rock	rocks	0	5	5	14	lushrocks	crushed208	crushshad208	0	1	100	25	2000		crushed208rec											lushrockscar4		1				1				lushrocksmudge4		
Lush\ROCKS.LushRockScar	Lush	Damaged Terrain	scars	0	4	4	0	lushrocks	lushrockscar		0	1	100		20000													lushrockscar						0						
Lush\ROCKS.LushRockScar2	Lush	Damaged Terrain	scars	0	2	2	0	lushrocks	lushrockscar2		0	1	100		20000													lushrockscar2						0						
Lush\ROCKS.LushRockScar3	Lush	Damaged Terrain	scars	0	1	1	0	lushrocks	lushrockscar3		0	1	100		20000													lushrockscar3						0						
Lush\ROCKS.LushRockScar4	Lush	Damaged Terrain	scars	0	5	5	0	lushrocks	lushrockscar4		0	1	100		20000													lushrockscar4						0						
Lush\ROCKS.LushRockScar5	Lush	Damaged Terrain	scars	0	3	3	0	lushrocks	lushrockscar5		0	1	100		20000													lushrockscar5						0						
Lush\ROCKS.LushRockScar6	Lush	Damaged Terrain	scars	0	3	3	0	lushrocks	lushrockscar6		0	1	100		20000													lushrockscar6						0						
Lush\ROCKS.LushRockSmudge	Lush	Damaged Terrain	smudges	0	4	4	0	lushrocks	lushrockscar		1	1	100		20000													lushrocksmudge						0						
Lush\ROCKS.LushRockSmudge2	Lush	Damaged Terrain	smudges	0	2	2	0	lushrocks	lushrockscar2		1	1	100		20000													lushrocksmudge2						0						
Lush\ROCKS.LushRockSmudge3	Lush	Damaged Terrain	smudges	0	1	1	0	lushrocks	lushrockscar3		1	1	100		20000													lushrocksmudge3						0						
Lush\ROCKS.LushRockSmudge4	Lush	Damaged Terrain	smudges	0	5	5	0	lushrocks	lushrockscar4		1	1	100		20000													lushrocksmudge4						0						
Lush\ROCKS.LushRockSmudge5	Lush	Damaged Terrain	smudges	0	3	3	0	lushrocks	lushrockscar5		1	1	100		20000													lushrocksmudge5						0						
Lush\ROCKS.LushRockSmudge6	Lush	Damaged Terrain	smudges	0	3	3	0	lushrocks	lushrockscar6		1	1	100		20000													lushrocksmudge6						0						
Lush\TREES.LushTree01	lush	Tree	trees	0	1	1	66	tall-tree	talltree1	tallshadow1	0	1	10				talltree1rec	250	tree1burn		Lush01crisp	5	15	5	40	TreeBurn	talltree3boom	tallsmudge	1	1		0	6	1				tallsmudge		
Lush\TREES.Lush01crisp	lush	Burnt Tree	trees	0	1	1	66	tall-tree	talltree1crisp	crispshadow1	0	1	10				talltree1crec	50				5	15	5	70		talltree2cboom	tallsmudge	0	1		0	6	1				tallsmudge		
Lush\TREES.Lush02	lush	Tree	trees	0	1	1	66	tall-tree	talltree2	tallshadow2	0	1	10				talltree2rec	250	tree2burn		Lush02crisp	5	15	5	40	TreeBurn	talltree3boom	tallsmudge2	1	1		0	6	1				tallsmudge2		
Lush\TREES.Lush02crisp	lush	Burnt Tree	trees	0	1	1	66	tall-tree	talltree2crisp	crispshadow2	0	1	10				talltree2crec	50				5	15	5	70		talltree2cboom	tallsmudge2	0	1		0	6	1				tallsmudge2		
Lush\TREES.Lush03	lush	Tree	trees	0	1	1	66	tall-tree	talltree3	tallshadow3	0	1	10				talltree3rec	250	tree3burn		Lush03crisp	5	15	5	40	TreeBurn	talltree3boom	tallsmudge	1	1		0	6	1				tallsmudge		
Lush\TREES.Lush03crisp	lush	Burnt Tree	trees	0	1	1	66	tall-tree	talltree3crisp	crispshadow3	0	1	10				talltree3crec	50				5	15	5	70		talltree2cboom	tallsmudge	0	1		0	6	1				tallsmudge		
Lush\TREES.Lush04	lush	Tree	trees	0	1	1	66	short-tree	tree04	treeshadow04	0	1	10				tree04rec	250	tree04burn		Lush04crisp	5	15	5	50	TreeBurn	tree05boom	shortsmudge	1	1		0	6	1				shortsmudge		
Lush\TREES.Lush04crisp	lush	Burnt Tree	trees	0	1	1	66	short-tree	tree04crisp	crispshadow04	0	1	10				tree04crisprec	50				5	15	5	90		tree06crispboom	shortsmudge	0	1		0	6	1				shortsmudge		
Lush\TREES.Lush05	lush	Tree	trees	0	1	1	66	short-tree	tree05	treeshadow05	0	1	10				tree05rec	250	tree05burn		Lush05crisp	5	15	5	50	TreeBurn	tree05boom	shortsmudge2	1	1		0	6	1				shortsmudge2		
Lush\TREES.Lush05crisp	lush	Burnt Tree	trees	0	1	1	66	short-tree	tree05crisp	crispshadow05	0	1	10				tree05crisprec	50				5	15	5	90		tree06crispboom	shortsmudge2	0	1		0	6	1				shortsmudge2		
Lush\TREES.Lush06	lush	Tree	trees	0	1	1	66	short-tree	tree06	treeshadow06	0	1	10				tree06rec	250	tree06burn		Lush06crisp	5	15	5	50	TreeBurn	tree05boom	shortsmudge3	1	1		0	6	1				shortsmudge3		
Lush\TREES.Lush06crisp	lush	Burnt Tree	trees	0	1	1	66	short-tree	tree06crisp	crispshadow06	0	1	10				tree06crisprec	50				5	15	5	90		tree06crispboom	shortsmudge3	0	1		0	6	1				shortsmudge3		
Lush\TREES.Lush07	lush	Oolok Tree	trees	0	1	1	66	tuber-tree	tree07	treeshadow07	0	1	10	50			tree07rec	150	tree07burn		Lush07crisp	5	15	5	70	TreeBurn	tree07boom	tubertreesmudge2	1	1		0	6	1				tubertreesmudge		
Lush\TREES.Lush07crisp	lush	Burnt Tree	trees	0	1	1	66	tuber-tree	tree07crisp	crispshadow07	0	1	10				tree07crisprec	50				5	15	5	90		tree09crispboom	tubertreesmudge	0	1		0	6	1				tubertreesmudge2		
Lush\TREES.Lush08	lush	Oolok Tree	trees	0	1	1	66	tuber-tree	tree08	treeshadow08	0	1	10	50			tree08rec	150	tree08burn		Lush08crisp	5	15	5	70	TreeBurn	tree07boom	tubertreesmudge2	1	1		0	6	1				tubertreesmudge		
Lush\TREES.Lush08crisp	lush	Burnt Tree	trees	0	1	1	66	tuber-tree	tree08crisp	crispshadow08	0	1	10				tree08crisprec	50				5	15	5	90		tree09crispboom	tubertreesmudge	0	1		0	6	1				tubertreesmudge2		
Lush\TREES.Lush09	lush	Oolok Tree	trees	0	1	1	66	tuber-tree	tree09	treeshadow09	0	1	10	50			tree09rec	150	tree09burn		Lush09crisp	5	15	5	70	TreeBurn	tree07boom	tubertreesmudge	1	1		0	6	1				tubertreesmudge2		
Lush\TREES.Lush09crisp	lush	Burnt Tree	trees	0	1	1	66	tuber-tree	tree09crisp	crispshadow09	0	1	10				tree09crisprec	50				5	15	5	90		tree09crispboom	tubertreesmudge2	0	1		0	6	1				tubertreesmudge		
Lush\TREES.tallsmudge	lush	Damaged Terrain	smudges	0	1	1	0	tall-tree	tallsmudge		1		0															tallsmudge	0	0		0	6	0						
Lush\TREES.tallsmudge2	lush	Damaged Terrain	smudges	0	1	1	0	tall-tree	tallsmudge2		1		0															tallsmudge2	0	0		0	6	0						
Lush\TREES.shortsmudge	lush	Damaged Terrain	smudges	0	1	1	0	short-tree	shortsmudge		1		0															shortsmudge	0	0		0	6	0						
Lush\TREES.shortsmudge2	lush	Damaged Terrain	smudges	0	1	1	0	short-tree	shortsmudge2		1		0															shortsmudge2	0	0		0	6	0						
Lush\TREES.shortsmudge3	lush	Damaged Terrain	smudges	0	1	1	0	short-tree	shortsmudge3		1		0															shortsmudge3	0	0		0	6	0						
Lush\TREES.tubertreesmudge	lush	Damaged Terrain	smudges	0	1	1	0	tuber-tree	tubertreesmudge		1		0															tubertreesmudge	0	0		0	6	0						
Lush\TREES.tubertreesmudge2	lush	Damaged Terrain	smudges	0	1	1	0	tuber-tree	tubertreesmudge2		1		0															tubertreesmudge2	0	0		0	6	0						
Lush\VENTS.LushVent01	lush	Thermal Vent	steamvents	1	1	1	0	lushvents	geovent01				0			1																			1					
Lush\VENTS.LushVent02	lush	Thermal Vent	steamvents	1	1	1	0	lushvents	geovent02				0			1																			1					
Lush\VENTS.LushVent03	lush	Thermal Vent	steamvents	1	1	1	0	lushvents	geovent03				0			1																			1					
Lush\WEEDS.lushfoliage01	lush	Foliage	foliage	0	1	1	1	lushfoliage	lushplant01		0	1	10				lushplant01rec	75	lushplant01burn		lushpsmudge03	5	15	5	90	ShrubBurn		lushpsmudge03	1	1		0	6	0				lushpsmudge03		
Lush\WEEDS.lushfoliage02	lush	Foliage	foliage	0	1	1	1	lushfoliage	lushplant02		0	1	10				lushplant02rec	75	lushplant02burn		lushpsmudge03	5	15	5	90	ShrubBurn		lushpsmudge03	1	1		0	6	0				lushpsmudge03		
Lush\WEEDS.lushfoliage03	lush	Foliage	foliage	0	1	1	1	lushfoliage	lushplant03		0	1	10				lushplant03rec	75	lushplant03burn		lushpsmudge03	5	15	5	90	ShrubBurn		lushpsmudge03	1	1		0	6	0				lushpsmudge03		
Lush\WEEDS.lushfoliage04	lush	Foliage	foliage	0	1	1	1	lushfoliage	lushplant04		0	1	10				lushplant04rec	75	lushplant04burn		lushpsmudge03	5	15	5	90	ShrubBurn		lushpsmudge03	1	1		0	6	0				lushpsmudge03		
Lush\WEEDS.lushfoliage05	lush	Foliage	foliage	0	1	1	1	lushfoliage	lushplant05		0	1	10				lushplant05rec	75	lushplant05burn		lushpsmudge03	5	15	5	90	ShrubBurn		lushpsmudge03	1	1		0	6	0				lushpsmudge03		
Lush\WEEDS.lushfoliage06	lush	Foliage	foliage	0	1	1	1	lushfoliage	lushplant06		0	1	10				lushplant06rec	75	lushplant06burn		lushpsmudge01	5	15	5	90	ShrubBurn		lushpsmudge01	1	1		0	6	0				lushpsmudge01		
Lush\WEEDS.lushfoliage07	lush	Foliage	foliage	0	1	1	1	lushfoliage	lushplant07		0	1	10				lushplant07rec	75	lushplant07burn		lushpsmudge02	5	15	5	90	ShrubBurn		lushpsmudge02	1	1		0	6	0				lushpsmudge02		
Lush\WEEDS.lushfoliage2-01	lush	Foliage	foliage	0	1	1	1	lushfoliage	lushplant201	lushpshad201	0	1	10				lushplant201rec	75	lushplant201burn		lushpsmudge01	5	15	5	90	ShrubBurn		lushpsmudge01	1	1		0	6	0				lushpsmudge01		
Lush\WEEDS.lushfoliage2-02	lush	Foliage	foliage	0	1	1	1	lushfoliage	lushplant202	lushpshad202	0	1	10				lushplant202rec	75	lushplant202burn		lushpsmudge02	5	15	5	90	ShrubBurn		lushpsmudge02	1	1		0	6	0				lushpsmudge02		
Lush\WEEDS.lushfoliage2-03	lush	Foliage	foliage	0	1	1	1	lushfoliage	lushplant203	lushpshad203	0	1	10				lushplant203rec	75	lushplant203burn		lushpsmudge03	5	15	5	90	ShrubBurn		lushpsmudge03	1	1		0	6	0				lushpsmudge03		
Lush\WEEDS.lushfoliage2-04	lush	Foliage	foliage	0	1	1	1	lushfoliage	lushplant204	lushpshad204	0	1	10				lushplant204rec	75	lushplant204burn		lushpsmudge03	5	15	5	90	ShrubBurn		lushpsmudge03	1	1		0	6	0				lushpsmudge03		
Lush\WEEDS.lushfoliage2-05	lush	Foliage	foliage	0	1	1	1	lushfoliage	lushplant205	lushpshad205	0	1	10				lushplant205rec	75	lushplant205burn		lushpsmudge03	5	15	5	90	ShrubBurn		lushpsmudge03	1	1		0	6	0				lushpsmudge03		
Lush\WEEDS.lushvine01	lush	Foliage	foliage	0	1	1	1	lushfoliage	lushvine01	lushvineshad01	0	1	10				lushvine01rec	75	lushvine01burn		lushpsmudge04	5	15	5	90	ShrubBurn		lushpsmudge04	1	1		0	6	0				lushpsmudge04		
Lush\WEEDS.lushvine02	lush	Foliage	foliage	0	1	1	1	lushfoliage	lushvine02	lushvineshad02	0	1	10				lushvine02rec	75	lushvine02burn		lushpsmudge02	5	15	5	90	ShrubBurn		lushpsmudge02	1	1		0	6	0				lushpsmudge02		
Lush\WEEDS.lushvine03	lush	Foliage	foliage	0	1	1	1	lushfoliage	lushvine03	lushvineshad03	0	1	10				lushvine03rec	75	lushvine03burn		lushpsmudge03	5	15	5	90	ShrubBurn		lushpsmudge03	1	1		0	6	0				lushpsmudge03		
Lush\WEEDS.Lushpsmudge01	Lush	Damaged Terrain	smudges	0	1	1	0	lushfoliage	lushpsmudge01		1		0															lushpsmudge01	0	0		0	6	0						
Lush\WEEDS.Lushpsmudge02	Lush	Damaged Terrain	smudges	0	1	1	0	lushfoliage	lushpsmudge02		1		0															lushpsmudge02	0	0		0	6	0						
Lush\WEEDS.Lushpsmudge03	Lush	Damaged Terrain	smudges	0	1	1	0	lushfoliage	lushpsmudge03		1		0															lushpsmudge03	0	0		0	6	0						
Lush\WEEDS.Lushpsmudge04	Lush	Damaged Terrain	smudges	0	1	1	0	lushfoliage	lushpsmudge04		1		0															lushpsmudge04	0	0		0	6	0						
Mars\watermetal.marsaquaore1	mars	Metal	metal	0	3	3	0	marsaquaore	marsaquaore1		0	1	5	88	32009	1																								
Mars\watermetal.marsaquaore2	mars	Metal	metal	0	3	3	0	marsaquaore	marsaquaore2		0	1	5	121	32009	1																								
Mars\watermetal.marsaquaore3	mars	Metal	metal	0	3	3	0	marsaquaore	marsaquaore3		0	1	5	244	32009	1																								
Metal\buildings.MetalTower01	Metal	Comm Uplink	building	0	5	5	75	towers	tower01	tower01shad	0	1	100	150	2000		tower01rec										bigboom	tower01scar		1				1				tower01scar		
Metal\buildings.Tower01Scar	Metal	Damaged Surface	scars	0	5	5	0	towerscars	tower01scar		0	1	100		20000													tower01scar						0						
Metal\buildings.MetalTower02	Metal	Comm Uplink	building	0	5	5	75	towers	tower02	tower02shad	0	1	100	150	2000		tower02rec										bigboom	tower02scar		1				1				tower02scar		
Metal\buildings.Tower02Scar	Metal	Damaged Surface	scars	0	5	5	0	towerscars	tower02scar		0	1	100		20000													tower02scar						0						
Metal\buildings.MetalTower03	Metal	Ventilation Engine	building	0	8	7	20	towers	tower03	tower03shad	0	1	100	100	2000		tower03rec										bigboom	tower03scar		1				1				tower03scar		
Metal\buildings.Tower03Scar	Metal	Damaged Surface	scars	0	8	7	0	towerscars	tower03scar		0	1	100		20000													tower03scar						0						
Metal\buildings.MetalTower04	Metal	Ventilation Engine	building	0	7	7	0	towers	tower04	tower04shad	0	1	100	100	2000		tower04rec										bigboom	tower04scar		1				1				tower04scar		
Metal\buildings.Tower04Scar	Metal	Damaged Surface	scars	0	7	7	0	towerscars	tower04scar		0	1	100		20000													tower04scar						0						
Metal\buildings.MetalTower05	Metal	Thermal Regulator	building	0	5	5	0	towers	tower05	tower05shad	0	1	100	75	2000		tower05rec										smallboom	tower05scar		1				1				tower05scar		
Metal\buildings.Tower05Scar	Metal	Damaged Surface	scars	0	5	5	0	towerscars	tower05scar		0	1	100		20000													tower05scar						0						
Metal\buildings.MetalTower06	Metal	Thermal Regulator	building	0	5	5	0	towers	tower06	tower06shad	0	1	100	75	2000		tower06rec										smallboom	tower06scar		1				1				tower06scar		
Metal\buildings.Tower06Scar	Metal	Damaged Surface	scars	0	5	5	0	towerscars	tower06scar		0	1	100		20000													tower06scar						0						
Metal\buildings.MetalTower07	Metal	Seismic Monitor	building	0	6	5	0	towers	tower07	tower07shad	0	1	100	75	2000		tower07rec										smallboom	tower07scar		1				1				tower07scar		
Metal\buildings.Tower07Scar	Metal	Damaged Surface	scars	0	6	5	0	towerscars	tower07scar		0	1	100		20000													tower07scar						0						
Metal\buildings.MetalTower08	Metal	Seismic Monitor	building	0	5	6	0	towers	tower08	tower08shad	0	1	100	75	2000		tower08rec										smallboom	tower08scar		1				1				tower08scar		
Metal\buildings.Tower08Scar	Metal	Damaged Surface	scars	0	5	6	0	towerscars	tower08scar		0	1	100		20000													tower08scar						0						
Metal\buildings.MetalTower09	Metal	Regulator Complex	building	0	3	4	10	towers	tower09	tower09shad	0	1	100	50	2000		tower09rec										smallboom	tower09scar		1				1				tower09scar		
Metal\buildings.Tower09Scar	Metal	Damaged Surface	scars	0	3	4	0	towerscars	tower09scar		0	1	100		20000													tower09scar						0						
Metal\buildings.MetalTower10	Metal	Pressure Valve	building	0	1	2	3	towers	tower10	tower10shad	0	1	100	25	2000		tower10rec											tower10scar		1				1				tower10scar		
Metal\buildings.Tower10Scar	Metal	Damaged Surface	scars	0	1	2	0	towerscars	tower10scar		0	1	100		20000													tower10scar						0						
Metal\buildings.MetalTower11	Metal	Thermal Regulator	building	0	5	5	0	towers	tower11	tower11shad	0	1	100	75	2000		tower11rec										smallboom	tower11scar		1				1				tower11scar		
Metal\buildings.Tower11Scar	Metal	Damaged Surface	scars	0	5	5	0	towerscars	tower11scar		0	1	100		20000													tower11scar						0						
Metal\buildings.MetalTower12	Metal	Thermal Regulator	building	0	5	5	0	towers	tower12	tower12shad	0	1	100	75	2000		tower12rec										smallboom	tower12scar		1				1				tower12scar		
Metal\buildings.Tower12Scar	Metal	Damaged Surface	scars	0	5	5	0	towerscars	tower12scar		0	1	100		20000													tower12scar						0						
Metal\buildings.MetalTower13	Metal	Comm Uplink	building	0	5	5	75	towers	tower13	tower13shad	0	1	100	150	2000		tower13rec										bigboom	tower13scar		1				1				tower13scar		
Metal\buildings.Tower13Scar	Metal	Damaged Surface	scars	0	5	5	0	towerscars	tower13scar		0	1	100		20000													tower13scar						0						
Metal\buildings.MetalTower14	Metal	Comm Uplink	building	0	5	5	75	towers	tower14	tower14shad	0	1	100	150	2000		tower14rec										bigboom	tower14scar		1				1				tower14scar		
Metal\buildings.Tower14Scar	Metal	Damaged Surface	scars	0	5	5	0	towerscars	tower14scar		0	1	100		20000													tower14scar						0						
Moon\ROCKS.MoonRock01	MOON	Rock	rocks	0	1	1	2	moonrocks2	rock01		0	1	100	25	2000		rock01rec											moonrock01scar		1				1				moonrock01scar		
Moon\ROCKS.MoonRock01Scar	MOON	Damaged Terrain	scars	0	1	1	0	moonscars	rock01scar		0	1	100		20000													moonrock01scar						0						
Moon\ROCKS.MoonRock02	MOON	Rock	rocks	0	1	1	2	moonrocks	rock02		0	1	100	25	2000		rock02rec											moonrock02scar		1				1				moonrock02scar		
Moon\ROCKS.MoonRock02Scar	MOON	Damaged Terrain	scars	0	1	1	0	moonscars	rock02scar		0	1	100		20000													moonrock02scar						0						
