	UnitName	Version	Side	Objectname	Designation	Name	Description	FootprintX	FootprintZ	BuildCostEnergy	BuildCostMetal	MaxDamage	MaxWaterDepth	MaxSlope	EnergyUse	BuildTime	WorkerTime	BMcode	Builder	ThreeD	ZBuffer	NoAutoFire	SightDistance	RadarDistance	SoundCategory	EnergyStorage	MetalStorage	ExplodeAs	SelfDestructAs	Category	TEDClass	Copyright	YardMap	Corpse	GermanName	GermanDescription	UnitNumber	FrenchName	Frenchdescription	firestandorders	StandingFireOrder	mobilestandorders	StandingMoveOrder	canmove	canpatrol	canstop	SpanishName	SpanishDescription	ItalianName	ItalianDescription	Ovradjust	canguard	MaxVelocity	BrakeRate	Acceleration	TurnRate	SteeringMode	ShootMe	Canfly	cruisealt	Scale	BankScale	Builddistance	CanReclamate	EnergyMake	MetalMake	DefaultMissionType	maneuverleashlength	MovementClass	Upright	standingmoveorder	buildangle	canattack	Weapon1	downloadable	wpri_badTargetCategory	BadTargetCategory	digger	DamageModifier	antiweapons	ActivateWhenBuilt	onoffable	RadarDistanceJam	sortbias	IsAirBase	MinWaterDepth	WaterLine	NoShadow	TransMaxUnits	canload	transportsize	transportcapacity	ai_limit	altfromsealevel	NoChaseCategory	Weapon2	wsec_badTargetCategory	Floater	HoverAttack	CloakCost	SonarDistance	Weapon3	candgun	CloakCostMoving	HealTime	CanCapture	HideDamage	ImmuneToParalyzer	norestrict	Commander	ShowPlayerName	mincloakdistance	IsFeature	PigLatinName	JapaneseName	PigLatinDescription	MoveRate1	maxwaterdepth	ai_weight	noshadow	Waterline	Buildangle	MakesMetal	teleporter	Stealth	Spanishdescription	Italiandescription	ExtractsMetal	attackrunlength	TidalGenerator	kamikaze	kamikazedistance	Downloadable	WindGenerator	MobileStandOrders	weapon1	BuildAngle	OVRadjust	waterline	upright	ovradjust	cantbetransported	transportmaxunits	PitchScale	MoveRate2
ARMROY.UNITINFO	ARMROY	1	ARM	ARMROY	ASD-SD	Crusader	Destroyer	4	4	4537	898	2870			2	13391	0	1	0	1	1	0	330	0	ARM_SHIP	0	0	BIG_UNITEX	BIG_UNIT	ARM SHIP LEVEL2 WEAPON ANTISUB NOTAIR NOTSUB CTRL_W	SHIP	Copyright 1997 Humongous Entertainment. All rights reserved.		armroy_dead	Crusader	Zerstörer	59	Paladin	Destroyer	1	2	1	1	1	1	1	Crusader	Destructor	Crusader	Distruttore	1	1	2.9	0.013	0.04	121	1	1			0.5				2		Standby	640	BOATS4			16384	1	ARM_ROY							1					12										ARMDEPTHCHARGE	NOTSUB 	1			305																																												
ARMSAM.UNITINFO	ARMSAM	1	ARM	ARMSAM	ARM-MML5	Samson	Mobile Missile Launcher	3	3	1027	119	650	12	16	0.5	1941	0	1	0	1	1	0	235	0	ARM_VEHICLE	0	0	BIG_UNITEX	BIG_UNIT	ARM TANK LEVEL2 WEAPON NOTAIR NOTSUB CTRL_W	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		armsam_dead	Samson	Mobiler Raketenwerfer	60	Samson	Lance-missiles mobile	1	2	1	1	1	1	1	Samson	Lanzamisiles móvil	Samson	Lanciamissili mobile	1	1	1.5	0.012	0.03	511	1	1							0.5		Standby	640	TANKSH3				1	ARMTRUCK_MISSILE		NOTAIR	NOTAIR																																																																				
ARMSEER.UNITINFO	ARMSEER	1	ARM	ARMSEER	ARM-MRJ	Seer	Mobile Radar	3	3	941	85	480	0	16	8	3186	0	1	0	1	1	0	320	1120	ARM_VEHICLE	0	0	BIG_UNITEX	BIG_UNIT	ARM TANK NOWEAPON RAD LEVEL2 NOTAIR NOTSUB CTRL_R	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		armjam_dead	Seer	Mobiles Radar	61	Prophète	Radar mobile			1	1	1	1	1	Seer	Radar móvil	Seer	Radar mobile	1	1	1.1	0.012	0.032	500	1	1							8		Standby	640	TANKSH3												1	1																																																															
ARMSILO.UNITINFO	ARMSILO	1	ARM	ARMSILO	ARM-MIDS	Retaliator	Nuclear Missile Launcher	5	5	52134	1010	2300	0	10	0	178453	0	0	0	1	1	0	350	0	NUC	0	0	ATOMIC_BLASTSML	NUCLEAR_MISSILE	ARM SPECIAL WEAPON LEVEL3 NOTAIR NOTSUB 	SPECIAL	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooooo	armsilo_dead	Retaliator	Atomraketenwerfer	62	Vengeor	Lance-missiles nucléaires	1	0					1	Retaliator	Lanzamisiles nucleares	Retaliator	Lanciamissili nucleare 	1							1							0							8192	1	NUCLEAR_MISSILE		VTOL	VTOL																																																																				
ARMSJAM.UNITINFO	ARMSJAM	1.2	ARM	ARMSJAM	ASD-SS	Escort	Radar Jammer Ship	4	4	1928	131	510			18	6708	0	1	0	1	1	0	300	0	ARM_SHIP	0	0	MEDIUM_UNITEX	MEDIUM_UNIT	ARM SHIP NOWEAPON JAM LEVEL2 NOTAIR NOTSUB CTRL_R	SHIP	Copyright 1997 Humongous Entertainment. All rights reserved.		armsjam_dead	Escort	Radarstörer-Schiff	163	Escorteur	Brouilleur de radar			1	1	1	1	1	Escort	Buque distorsionador de radar	Escort	Nave - crea interferenze radar		1	2.7	0.016	0.075	400	1	1							18		Standby	640	BOATS4						1						1	1	700			6												1			0																																												
ARMSNIPE.UNITINFO	ARMSNIPE	1.2	ARM	ARMSNIPE	BK-CD4	Shooter	Sniper Kbot	2	2	14727	935	320	22	14	0.9	28137	0	1	0	1	1	0	290	0	ARM_KBOT	0	0	BIG_UNITEX	BIG_UNIT	ARM KBOT LEVEL2 WEAPON NOTAIR CTRL_W	KBOT	Copyright 1997 Humongous Entertainment. All rights reserved.		ARMSNIPE_dead	Shooter	Scharfschützen-Kbot	250	Tireur	Kbot Tireur d'Elite	1	0	1	1	1	1	1	Shooter	Kbot francotirador	Shooter	Kbot cecchino		1	1.1	0.15	0.1	1216	2	1							0.9		Standby	640	TANKSH2	1			1	ARMsnipe_weapon	1	VTOL	VTOL																limit ARMAMPH 20		VTOL					780				1100								40							weight ARMAMPH 0.5																										
ARMSOLAR.UNITINFO	ARMSOLAR	1	ARM	ARMSOLAR	AE-SC	Solar Collector	Produces Energy	5	5	760	145	326	0	10	-20	2495	0	0	0	1	1	0	210	0	ARM_SOLAR	0	0	SMALL_BUILDINGEX	SMALL_BUILDING	ARM ENERGY LEVEL1 NOWEAPON NOTAIR NOTSUB 	ENERGY	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooooooooooooooooooooooo	armsolar_dead	Solarkollektor	Gewinnt Energie	63	Capteur solaire	Produit de l'énergie								Colector Solar	Produce energía	Pannello Solare	Produce energia	1														0							4096							0.33333		1	1																																																															
ARMSONAR.UNITINFO	ARMSONAR	1	ARM	ARMSONAR	AS-EWDW	Sonar Station	Locates Water Units	2	2	403	20	50		10	9	912	0	0	0	1	1	0	175		ARM_SONAR	0	0	SMALL_BUILDINGEX	SMALL_BUILDING	ARM SPECIAL SONAR LEVEL2 NOTAIR NOTSUB CTRL_R	WATER	Copyright 1997 Humongous Entertainment. All rights reserved.	wwww	armsonar_dead	Sonarstation	Ortet schwimmende Einheiten	64	Station sonar	Détecte les unités navales								Estación de Sonar	Detecta submarinos	Stazione Sonar	Individua le unità anfibie	1														9							8192									1	1				8		1													1180																				12																								
ARMSPID.UNITINFO	ARMSPID	1	ARM	ARMSPID	ATAS	Spider	Spider Assault Vehicle	3	3	2200	230	450	12		0.7	6075	0	1	0	1	1	0	210	0	Spider	0	0	BIG_UNITEX	BIG_UNIT	ARM TANK LEVEL2 WEAPON PARAL NOTAIR NOTSUB CTRL_W	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		armspid_dead	Spider	Spinnen-Gefechtsfahrzeug	65	Mygal	Véhicule d'assaut	1	2	1	1	1	1	1	Spider	Vehículo todoterreno de ataque	Spider	Veicolo d'assalto Spider	1	1	1.525878906	0.152587891	0.152587891	1020	1	1							0.7		Standby	640	SPID3				1	ARM_PARALYZER		VTOL	VTOL																		VTOL																																																		
ARMSTUMP.UNITINFO	ARMSTUMP	1	ARM	ARMSTUMP	ARM-FA5	Stumpy	Medium Assault Tank	2	2	1246	165	992	12	10	0.6	2404	0	1	0	1	1	0	250	0	ARM_TANK	0	0	BIG_UNITEX	BIG_UNIT	ARM TANK LEVEL1 WEAPON NOTAIR NOTSUB CTRL_W	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		armstump_dead	Stumpy	Mittelschwerer Gefechtspanzer	66	Mastok	Char d'assaut moyen	1	2	1	1	1	1	1	Stumpy	Tanque de asalto medio	Stumpy	Carro armato medio d'assalto	1	1	1.7	0.01	0.016	450	1	1							0.6		Standby	640	TANKSH2				1	ARM_LIGHTCANNON		VTOL	VTOL																		VTOL																																																		
ARMSUB.UNITINFO	ARMSUB	1	ARM	ARMSUB	ASD-SM	Lurker	Submarine	3	3	3724	1151	610			0.4	9894	0	1	0	1	1	0	112	0	ARM_SUB	0	0	SMALL_UNITEX	SMALL_UNIT	ARM UNDERWATER LEVEL1 TORP WEAPON NOTAIR CTRL_W	WATER	Copyright 1997 Humongous Entertainment. All rights reserved.		armsub_dead	Lurker	U-Boot	67	Nautile	Sous-marin	1	2	1	1	1	1	1	Lurker	Submarino	Lurker	Sottomarino	1	1	2.1	0.18	0.015	256	1	1							0.4		Standby	640	BOATD3	1			1	ARM_TORPEDO		VTOL	VTOL				1					20	20								VTOL						405																																												
ARMSUBK.UNITINFO	ARMSUBK	1	ARM	ARMSUBK	ASD-SK	Piranha	Submarine Killer	3	3	5481	1448	290			0.5	17767	0	1	0	1	1	0	150		ARM_SUB	0	0	SMALL_UNITEX	SMALL_UNIT	ARM UNDERWATER LEVEL2 TORP WEAPON NOTAIR CTRL_W	WATER	Copyright 1997 Humongous Entertainment. All rights reserved.		armsubk_dead	Piranha	U-Boot Jäger	68	Piranha	Destructeur de sous-marins	1	2	1	1	1	1	1	Piranha	Caza submarino	Piranha	Sottomarino killer	1	1	2.4	0.36	0.2	622	1	1							0.5		Standby	640	BOATD3	1			1	ARMSMART_TORPEDO		VTOL	VTOL				1					15	20								VTOL						489																																												
ARMSY.UNITINFO	ARMSY	1	ARM	ARMSY	ARM-SCF	Shipyard	Produces Ships	8	8	775	615	2490			0	6050	100	0	1	1	1	0	212	0	SHIPYARD	100	100	LARGE_BUILDINGEX	LARGE_BUILDING	ARM PLANT CTRL_F LEVEL1 NOWEAPON NOTAIR NOTSUB 	PLANT	Copyright 1997 Humongous Entertainment. All rights reserved.	wCCCCCCw CCCCCCCC CCCCCCCC CCCCCCCC CCCCCCCC CCCCCCCC CCCCCCCC wCCCCCCw	armsy_dead	Werft	Tech Level 1	69	Chantier naval  	Niveau Tech 1	1	2	1	1	1	1	1	Astillero	Produce buques	Cantiere Navale	Produce navi	1															0.5																				30	1	1																																																									
ARMTHUND.UNITINFO	ARMTHUND	1	ARM	ARMTHUND	AFD-HAB	Thunder	Bomber	3	3	5496	130	320	0	10	1.1	10155	0	1	0	1	1	0	350	0	ARM_VTOL	0	0	LIGHTNING	CRAWL_BLASTSML	ARM VTOL CTRL_V LEVEL1 WEAPON BOMB NOTSUB CTRL_W CTRL_P	VTOL	Copyright 1997 Humongous Entertainment. All rights reserved.			Thunder	Bomber	70	Tonnerre	Bombardier	1	0	1	1	1	1	1	Thunder	Bombardero	Thunder	Bombardiere	1	1	9	0.4	0.08	356	1	1	1	200	1	1			1.1		VTOL_standby	1280					1	ARMBOMB																				1	UNDERWATER																																		120																
ARMTIDE.UNITINFO	ARMTIDE	1	ARM	ARMTIDE	AE-TPG	Tidal Generator	Produces Energy	3	3	768	82	256		10	0	2188	0	0	0	1	1	0	100	0	ARM_TIDE	0	0	SMALL_BUILDINGEX	SMALL_BUILDING	ARM ENERGY LEVEL1 NOWEAPON NOTAIR NOTSUB 	WATER	Copyright 1997 Humongous Entertainment. All rights reserved.	wwwwwwwwwwwwwwww	armtide_dead	Gezeitenkraftwerk	Liefert Energie	71	Centrale marémotrice	Produit de l'énergie								Generador Maremotriz	Produce energía	Generatore a Maree	Produce energia	1																					8192									1					20		1													0																				8									1															
ARMTL.UNITINFO	ARMTL	1	ARM	ARMTL	AS-TDS	Torpedo Launcher	Torpedo Launcher	3	3	2658	804	1450			0.1	4120	0	0	0	1	1	0	150	0	ARM_SHIP	0	0	SMALL_UNITEX	SMALL_UNIT	ARM SPECIAL WEAPON TORP LEVEL2 NOTAIR NOTSUB 	WATER	Copyright 1997 Humongous Entertainment. All rights reserved.	wwwwwwwww	armtl_dead	T. Launcher	Torpedowerfer	72	Torpillard	Lance-torpilles	1	2					1	Lanzatorpedos	Lanzatorpedos	Lancia-torpedini	Lancia-torpedini	1							1							0.1		GUARD_NOMOVE					16384	1	COAX_TORPEDO							1					1	10	1													450																																												
ARMTSHIP.UNITINFO	ARMTSHIP	1	ARM	ARMTSHIP	ASD-ST	Hulk	Transport Ship	6	6	4639	919	2000			0.3	14538	0	1	0	1	1	0	250	0	ARM_SHIP	0	0	BIG_UNITEX	BIG_UNIT	ARM SHIP TPORT LEVEL1 NOWEAPON NOTAIR NOTSUB 	SHIP	Copyright 1997 Humongous Entertainment. All rights reserved.		armtship_dead	Hulk	Transportschiff	73	Mastodonte	Cargo	0		0	1	1	1	1	Hulk	Transporte anfibio	Hulk	Nave da trasporto	1	1	1.9	0.018	0.009	128	1	1			0.5				0.3		Standby	640	BOATS6			16384														12				1	3	20						1																																															
ARMVADER.UNITINFO	ARMVADER	1	ARM	ARMVADER	ARM-CB	Invader	Crawling Bomb	1	1	5473	61	185	112	32	0.1	7901	0	1	0	1	1	0	101	0	VADER	0	0	CRAWL_BLASTSML	CRAWL_BLAST	ARM KBOT WEAPON LEVEL2 NOTAIR NOTSUB KAMIKAZE	KBOT	Copyright 1997 Humongous Entertainment. All rights reserved.			Invader	Kriech-Bombe	74	Envahisseur	Bombe rampante	1	0	1	1	1	1	1	Invader	Bomba de superficie	Invader	Bomba a grappolo	1	1	0.42	0.13	0.11	1400	1	1							0.1		Standby	640	TANKDS2				1																																																										1	80													
ARMVP.UNITINFO	ARMVP	1	ARM	ARMVP	ARM-VCF	Vehicle Plant	Produces Vehicles	8	6	1000	620	2580	0	10	0	6500	100	0	1	1	1	0	210	0	TANKPLANT	100	100	LARGE_BUILDINGEX	LARGE_BUILDING	ARM PLANT CTRL_F LEVEL1 NOWEAPON NOTAIR NOTSUB 	PLANT	Copyright 1997 Humongous Entertainment. All rights reserved.	oooooooo ooccccoo ooccccoo ooccccoo ooccccoo ooccccoo	armvp_dead	Fahrzeugfabrik	Tech Level 1	75	Usine de véhicules 	Niveau Tech 1	1	2	1	2	1	1	1	Planta Constr. Vehículos 	Produce vehículos	Fabbrica Veicoli	Produce veicoli	1																					1024												0																																																													
ARMWAR.UNITINFO	ARMWAR	1.2	ARM	ARMWAR	ARM-KI2	Warrior	Medium Infantry Kbot	2	2	2236	196	850	12	17	0.5	5709	0	1	0	1	1	0	250	0	ARM_KBOT	0	0	SMALL_UNITEX	SMALL_UNIT	ARM KBOT LEVEL1 WEAPON NOTAIR NOTSUB CTRL_W	KBOT	Copyright 1997 Humongous Entertainment. All rights reserved.		armwar_dead	Warrior	Mittelschwerer Infantrie-Kbot	265	Guerrier	KBot d'infanterie moyen	1	2	1	1	1	1	1	Warrior	Kbot de infantería medio	Warrior	Kbot da fanteria medio		1	1.25	0.19	0.06	700	2	1							0.5		Standby	640	TANKSH2	1			1	ARMWAR_LCANNON		VTOL	VTOL																		VTOL	ARMWAR_EMG																																					1												
ARMWIN.UNITINFO	ARMWIN	1	ARM	ARMWIN	AE-WPG	Wind Generator	Produces Energy	4	4	509	52	176	0	10	0	1603	0	0	0	1	1	0	210	0	ARM_WIND	0	0	SMALL_BUILDINGEX	SMALL_BUILDING	ARM ENERGY LEVEL1 NOWEAPON NOTAIR NOTSUB 	ENERGY	Copyright 1997 Humongous Entertainment. All rights reserved.	oooooooooooooooo	armwin_dead	Windgenerator	Gewinnt Energie	76	Eolienne	Produit de l'énergie								Generador Eólico	Produce energía	Generatore a Vento	Produce energia	1																					8192									1																																																					30											
ARMYORK.UNITINFO	ARMYORK	3.0	ARM	ARMYORK	ARM-MML5	Phalanx	Mobile Flak Vehicle	3	3	10500	830	621	12	16	0.5	20380	0	1	0	1	1	0	300	0	ARM_VEHICLE	0	0	BIG_UNITEX	BIG_UNIT	ARM TANK LEVEL2 WEAPON NOTAIR NOTSUB CTRL_W	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		armyork_dead	Phalanx	Mobile Flak-Einheit	303	Phalange	Véhicule antiaérien	1	2	1	0	1	1	1	Phalanx	Vehículo Móvil Antiaéreo	Falange	Veicolo d'artiglieria mobile	1	1	1.21	0.012	0.03	511	1	1							0.5		Standby	10	TANKSH3				1	ARMyork_GUN		NOTAIR	NOTAIR																																																								1												
ARMZEUS.UNITINFO	ARMZEUS	1	ARM	ARMZEUS	ARM-KL	Zeus	Assault Kbot	2	2	2228	267	875	12	17	1.1	5478	0	1	0	1	1	0	255	0	ARM_KBOT	0	0	BIG_UNITEX	BIG_UNIT	ARM KBOT LEVEL2 WEAPON NOTAIR NOTSUB CTRL_W	KBOT	Copyright 1997 Humongous Entertainment. All rights reserved.		armzeus_dead	Zeus	Gefechts-Kbot	77	Zeus	Kbot d'assaut	1	2	1	1	1	1	1	Zeus	Kbot de asalto	Zeus	Kbot d'assalto	1	1	1	0.19	0.09	960	2	1							1.1		Standby	640	TANKSH2	1			1	LIGHTNING		VTOL	VTOL																		VTOL																																																		
CORAAP.UNITINFO	CORAAP	1	CORE	CORAAP	COR-ACF	Adv. Aircraft Plant	Produces Aircraft	7	6	4422	2191	2200	0	10	0	17232	200	0	1	1	1	0	235	1150	AIRPLANT	200	200	LARGE_BUILDINGEX	LARGE_BUILDING	CORE PLANT CTRL_F LEVEL2 NOWEAPON NOTAIR NOTSUB 	PLANT	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooo ooooooo occccco occccco occccco occccco	coraap_dead	Verb. Flugzeugfabrik	Tech Level 2	78	Usine aéro. évoluée	Niveau Tech 2	1	2	1	1	1	1	1	Planta Av. Constr.Aeronaves	Produce aeronaves	Fabbrica Aerei Spec.	Produce velivoli	1																																																																																														
CORACA.UNITINFO	CORACA	1	CORE	CORACA	COR-CA1	Adv. Construction Aircraft	Tech Level 2	2	2	12824	231	370	0	10	0.3	26001	100	1	1	1	1	0	295	0	CORE_CVTOL	100	100	BIG_UNITEX	BIG_UNIT	CORE VTOL CTRL_V LEVEL2 CONSTR NOWEAPON NOTSUB CTRL_B	CNSTR	Copyright 1997 Humongous Entertainment. All rights reserved.			Verb. Konstr.-Flugzeug	Tech Level 2	79	Avion de constr. évolué	Niveau Tech 2			1	1	1	1	1	Aeronave Av. Construcción	Nivel Tecn. 2	Aereo Costruttore Spec.	Tecnologia Livello 2	1	1	7.5	1.5	0.07	130	1	1	1	70	0.8	1.5	60	1	22	0.5	VTOL_Standby	1280																																																																													
CORACK.UNITINFO	CORACK	1	CORE	CORACK	COR-ACK1	Adv. Construction Kbot	Tech Level 2	2	2	6096	325	1070	25	20	0.2	13963	160	1	1	1	1	0	245	0	COR_CKBOT	100	100	BIG_UNITEX	BIG_UNIT	CORE KBOT LEVEL2 CONSTR NOWEAPON NOTAIR NOTSUB CTRL_B	CNSTR	Copyright 1997 Humongous Entertainment. All rights reserved.		corack_dead	Verb. Konstr.-Kbot	Tech Level 2	80	Kbot de constr. évolué	Niveau Tech 2			1	1	1	1	1	Kbot Av. Construcción	Nivel Tecn. 2	Kbot Costruttore Spec.	Tecnologia Livello 2	1	1	0.6	0.5	0.16	1005	1	1					60	1	19	0.5	Standby	640	TANKSH2	1																																																																	1										
CORACV.UNITINFO	CORACV	1	CORE	CORACV	COR-CV1	Adv. Construction Vehicle	Tech Level 2	3	3	4504	455	1220	18	16	0.2	10806	200	1	1	1	1	0	227	0	CORE_CVEHICLE	100	100	BIG_UNITEX	BIG_UNIT	CORE TANK LEVEL2 CONSTR NOWEAPON NOTAIR NOTSUB CTRL_B	CNSTR	Copyright 1997 Humongous Entertainment. All rights reserved.		coracv_dead	Verb. Konstr.-Fahrzeug	Tech Level 2	81	Véhicule de constr. évolué	Niveau Tech 2			1	1	1	1	1	Vehículo Av. Construcción	Nivel Tecn. 2	Veicolo Costruttore Spec.	Tecnologia Livello 2	1	1	1.5	0.03	0.016	210	1	1					60	1	21	0.5	Standby	640	TANKSH3																																																																												
CORAK.UNITINFO	CORAK	1	CORE	CORAK	KA-L4	A.K.	Infantry Kbot	2	2	696	56	265	25	17	0.3	1523	0	1	0	1	1	0	275	0	CORAK	0	0	SMALL_UNITEX	SMALL_UNIT	CORE KBOT LEVEL1 WEAPON NOTAIR NOTSUB CTRL_W	KBOT	Copyright 1997 Humongous Entertainment. All rights reserved.		corak_dead	A.K.	Infantrie-Kbot	82	Kbotin	Infanterie Kbot	1	2	1	1	1	1	1	A.K.	Kbot de infantería	A.K.	Kbot da Fanteria	1	1	1.72	0.183105469	0.091552734	1100	2	1							0.3		Standby	640	TANKSH2	1			1	CORE_LASER																																																																							
CORALAB.UNITINFO	CORALAB	1	CORE	CORALAB	COR-KL2	Adv. Kbot Lab	Produces Kbots	7	6	3625	1972	3170	0	10	0	14000	200	0	1	1	1	0	222	0	KBOTPLANT	200	200	LARGE_BUILDINGEX	LARGE_BUILDING	CORE PLANT CTRL_F LEVEL2 NOWEAPON NOTAIR NOTSUB 	PLANT	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooo ooooooo occccco ccccccc ccccccc oocccoo	coralab_dead	Verb. Kbot-Labor	Tech Level 2	83	Labo de Kbots évolué	Niveau Tech 2	1	2	1	1	1	1	1	Laboratorio Av. Kbot	Produce Kbots	Lab. Kbot Spec.	Produce Kbot	1																					1024																																																																									
CORAP.UNITINFO	CORAP	1	CORE	CORAP	PAV	Aircraft Plant	Produces Aircraft	7	6	1340	830	1925	0	10	0	7180	100	0	1	1	1	0	210	510	AIRPLANT	100	100	LARGE_BUILDINGEX	LARGE_BUILDING	CORE PLANT CTRL_F LEVEL1 NOWEAPON NOTAIR NOTSUB 	PLANT	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooo ooooooo occccco occccco occccco occccco	corap_dead	Flugzeugfabrik	Tech Level 1	84	Usine aéronautique  	Niveau Tech 1	1	2	1	1	1	1	1	Planta Constr. Aeronaves 	Produce aeronaves	Fabbrica Aerei	Produce velivoli	1										0.5																				0																																																																
CORAPE.UNITINFO	CORAPE	1	CORE	CORAPE	VB-R6	Rapier	Gunship	3	3	5778	294	940	0	10	0.6	13294	0	1	0	1	1	0	350	0	CORE_VTOL	0	0	BIG_UNITEX	BIG_UNIT	CORE VTOL CTRL_V LEVEL2 WEAPON  NOTSUB CTRL_W CTRL_P	VTOL	Copyright 1997 Humongous Entertainment. All rights reserved.			Rapier	Kampfhubschrauber 	85	Glaive	Hélicoptère	1	2	1	1	1	1	1	Rapier	Hlicóptero de combate	Rapier	Elicottero	1	1	7.629394531	3	0.14	600	1	1	1	50	1	1			0.6		VTOL_standby	1280					1	VTOL_rocket		VTOL	VTOL																			VTOL_rocket2			1																																														
CORARAD.UNITINFO	CORARAD	1	CORE	CORARAD	AS-EWDL2	Advanced Radar Tower	Long Range Radar	2	2	1920	122	130	0	10	17	4960	0	0	0	1	1	0	350	2880	CORE_ADVRADAR	0	0	SMALL_BUILDINGEX	SMALL_BUILDING	CORE SPECIAL LEVEL3 NOWEAPON NOTAIR NOTSUB CTRL_R	SPECIAL	Copyright 1997 Humongous Entertainment. All rights reserved.	oooo	corarad_dead	Verbesserter Radarturm	Langstrecken-Radarturm	86	Tour radar évoluée	Radar de longue portée								Torre de Radar Avanzada	Radar de largo alcance	Torre Radar Avanzata	Radar a lungo raggio	1														17							8192									1	1																																																															
CORASP.UNITINFO	CORASP	1	CORE	CORASP	ARM-SP1	Air Repair Pad	Automatically repairs aircraft	4	4	8540	430	690	1	10	0	21587	200	0	1	1	1	0	175	0	AIRPLANT	100	0	BIG_UNITEX	BIG_UNIT	CORE REPAIRPAD LEVEL3 NOWEAPON NOTAIR NOTSUB 	SPECIAL	Copyright 1997 Humongous Entertainment. All rights reserved.	oooo oooo oooo oooo	corasp_dead	Luftfahrt-Reparaturset	Repariert Lufteinheiten automatisch	155	Piste de réparations	Répare automatiquement les avions								Plat. Aérea Reparaciones	Repara aeronaves automáticamente	Piattaforma Aerei	Ripara automaticamente i velivoli	1												6		11							1024									1	1		0	1																																																												
CORASY.UNITINFO	CORASY	1	CORE	CORASY	COR-SCF	Adv. Shipyard	Produces Ships	8	8	2325	2460	2760			0	13080	200	0	1	1	1	0	232	0	SHIPYARD	200	200	LARGE_BUILDINGEX	LARGE_BUILDING	CORE PLANT CTRL_F LEVEL2 NOWEAPON NOTAIR NOTSUB 	PLANT	Copyright 1997 Humongous Entertainment. All rights reserved.	wCCCCCCw CCCCCCCC CCCCCCCC CCCCCCCC CCCCCCCC CCCCCCCC CCCCCCCC wCCCCCCw	corasy_dead	Verbesserte Werft	Tech Level 2	87	Chantier naval évolué	Niveau Tech 2	1	2	1	1	1	1	1	Astillero Avanzado	Produce buques	Cantiere Navale Spec.	Produce navi	1															1																				30	22	1																																																									
CORAVP.UNITINFO	CORAVP	1	CORE	CORAVP	COR-VCF2	Adv. Vehicle Plant	Produces Vehicles	8	6	3520	1947	2580	0	10	0	15410	200	0	1	1	1	0	220	0	TANKPLANT	200	200	LARGE_BUILDINGEX	LARGE_BUILDING	CORE PLANT CTRL_F LEVEL2 NOWEAPON NOTAIR NOTSUB 	PLANT	Copyright 1997 Humongous Entertainment. All rights reserved.	oooooooo oooooooo ooccccoo ooccccoo ooccccoo ooccccoo	coravp_dead	Verb. Fahrzeugfabrik	Tech Level 2	88	Usine de véhicules évoluée	Niveau Tech 2	1	2	1	1	1	1	1	Planta Av. Constr. Vehículos	Produce vehículos	Fabbrica Veicoli Spec.	Produce veicoli	1																					1024												0																																																													
CORBATS.UNITINFO	CORBATS	1	CORE	CORBATS	SB-AS6	Warlord	Battleship	6	6	19741	4181	6140			44	40640	0	1	0	1	1	0	350	0	CORE_SHIP	0	0	BIG_UNITEX	BIG_UNIT	CORE SHIP LEVEL2 WEAPON NOTAIR NOTSUB CTRL_W	SHIP	Copyright 1997 Humongous Entertainment. All rights reserved.		corbats_dead	Warlord	Schlachtschiff	89	Nef de Guerre	Cuirassé	1	2	1	1	1	1	1	Warlord	Acorazado	Warlord	Nave da battaglia	1	1	2.15	0.018310547	0.0045	69	1	1							46		Standby	640	BOATD6			16384	1	CORE_BATSLASER		VTOL	VTOL									15									VTOL	COR_BATS		1																																															
CORBUILD.UNITINFO	CORBUILD	1	CORE	CORBUILD	MS-4	Hydration Plant	Creates Water	5	5	2550	220	1806	0	10	0	3925	0	0	0	1	1	0	210	0	CORE_MSTOR	0	1000	SMALL_BUILDINGEX	SMALL_BUILDING	CORE METAL LEVEL1 NOWEAPON  NOTAIR NOTSUB 	SPECIAL	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooooooooooooooooooooo	corbuild_dead	Hydrierungsanlage	Produziert Wasser	157	Centrale d'hydratation	Produit de l'Eau								Planta de Hidratación	Genera agua	Impianto di Idratazione	Crea acqua	1																																																										1																																				
